pulsaciones_media, gsr_media, temperatura_media, pulsaciones_mediana, gsr_mediana, temperatura_mediana, pulsaciones_std, gsr_std, temperatura_std, pulsaciones_min, gsr_min, temperatura_min, pulsaciones_max, gsr_max, temperatura_max, pulsaciones_minmax, gsr_minmax, temperatura_minmax, pulsaciones_skew, gsr_skew, temperatura_skew, pulsaciones_kurt, gsr_kurt, temperatura_kurt
60.664090768914626,4.037403048967058,32.956526846634766,60.62403448004471,4.018656881232011,32.95526363975123,0.40874735838253407,0.0994434185305837,0.008331930767957465,60.08398778815018,3.9127376330526253,32.9468425951506,61.06135117380243,4.130679921100014,32.96578999569542,0.9773633856522403,0.217942288047389,0.018947400544818332,-0.4614564631956326,-0.40613472450308874,0.1089577198960088,0.9870054670329094,0.1632637395070946,0.7032089151446862,0
63.748309366326595,4.861439150258118,33.034735749897244,63.829694848311576,4.8528971295607715,33.03473572981985,0.514104805764771,0.05879735840906689,0.007846470474665699,62.94863831369501,4.783533548053942,33.02263039036801,64.30695242630809,4.917675695921245,33.042630647358145,1.358314112613075,0.1341421478673031,0.020000256990136814,-0.2642057014290974,0.11519106051842384,-0.14600709528645692,0.5958738260951645,-0.4997574779358185,1.5248057851911796,0
54.478133151405736,5.069907850968204,33.071052370573355,54.44121621784411,5.073590893494456,33.07263133400365,0.3749852928216714,0.04782914799243134,0.010069377384880554,53.99910876625463,4.983594844215794,33.05631537186472,54.94454614739669,5.109158315156636,33.08157890721371,0.9454373811420634,0.12556347094084086,0.02526353534898998,-0.2689758203034941,-0.3477466063283625,-0.1459473940414949,0.5740272284352003,0.06357633096623595,1.9234718716688277,0
53.68944635893172,5.705196440847299,33.1068426634136,53.648167961522155,5.718010977694862,33.10736897117213,0.3677505194120833,0.09458326152688257,0.008709702893659103,53.36059971859581,5.56899911478946,33.092105664704974,54.328483179995885,5.801199185220819,33.11421123303865,0.9678834614000822,0.23220007043135793,0.02210556833367636,0.22582486742318533,0.06083205886018453,-0.3073911790564259,0.12234716419981112,0.0570445020116385,2.1527255639097773,0
53.54699277375867,6.063271178697275,33.14442130640933,53.537036393818106,6.07371775727523,33.145789798937344,0.21207197362726277,0.06944516720254457,0.008972092750963454,53.38319898906507,5.92154796499955,33.12894781012284,53.947227478027344,6.119129406778436,33.15210543180767,0.5640284889622743,0.1975814417788857,0.023157621684827677,0.06065577039007874,0.10788809381367033,-0.1664356663250481,0.5356430748168299,0.20097282273219397,1.0877416756174747,0
51.36678968730724,6.433484827844727,33.19442002145868,51.32802852831389,6.442366374166388,33.19526210584139,0.18730012917977057,0.09523864640002001,0.007207869794105948,51.26572879992033,6.262814270822625,33.17947267231188,51.794895573666224,6.51462093152498,33.199472527754935,0.5291667737458872,0.2518066607023542,0.019999855443050985,0.7038283021601833,0.17453988770594137,-0.396666565023319,0.9161440606095465,0.3122162641438094,0.7234463918102902,0
53.8951929393567,7.232846144626004,33.33336838170108,53.88221068131296,7.258222316440783,33.335263101678144,0.4989102867752992,0.09250515302629163,0.016373429629837236,53.43124449880499,7.056850784703305,33.30578934518915,54.66346901341488,7.315534616771497,33.34789476896587,1.232224514609888,0.25868383206819234,0.04210542377672623,-0.17851846002507252,0.007684258028156484,-0.25717554785722696,1.302983354650723,0.34945350473584824,0.8991522533591516,0
54.670408650448515,7.841598799354163,33.44379015470813,54.64232043216103,7.862032513869436,33.44631646808825,0.34257252666990645,0.13377067044078678,0.012942887321339261,54.318322031121504,7.587749205137554,33.41421107241982,55.167517009534336,7.955860564583226,33.451053418611224,0.8491949784128286,0.3681113594456723,0.03684234619140401,0.30847694773839396,-0.027721021508295342,-0.26824997669665,0.6716808401977444,0.7465059226927183,0.8261613856071631,0
56.7690344559518,8.270544245368551,33.47442243475671,56.73196130049856,8.298973886590256,33.47736981040553,0.3333927680676952,0.135280958464824,0.013521584426836913,56.29667904502467,8.00233853490729,33.44368543122944,57.203262730648646,8.375570247047825,33.482633088764395,0.9065836856239703,0.3732317121405351,0.0389476575349544,-0.282098110673046,-0.09036426508547588,-0.24471807104354681,0.9391952552345626,0.05111830845195055,1.3584183673467127,0
53.86663726003548,8.203810729478544,33.51452550386128,53.88176265515779,8.220723930158114,33.517367613943,0.4102046367865554,0.161632705312961,0.013386620106353626,53.428770567241465,7.8986797081796745,33.48473599082545,54.50233238621762,8.321245896188836,33.52263079191509,1.0735618189761513,0.4225661880091617,0.037894801089640405,-0.18944995526827052,-0.0912746987265323,0.02899870635476484,2.3641761062204845,0.6547118140498477,0.6168098818469175,0
54.95219985560371,8.635450486132976,33.57252614874598,54.9291945005718,8.659613032090036,33.57526297318308,0.33562528567982713,0.13702745426533897,0.016114336440382883,54.492787411338405,8.330776791823538,33.536315516421666,55.40513450221012,8.721782533746017,33.58157890721371,0.9123470908717108,0.39100574192247894,0.04526339079204247,-0.5995040825366539,-0.02956481875361122,-0.3856735837749517,1.1821090586201157,-0.008165079098187521,0.7003893662728186,0
56.02406084397262,9.127115908791042,33.63482374303483,55.9710693359375,9.193454882677864,33.63941192626953,0.3740025728988333,0.2527475642592731,0.01567245045193485,55.65498868156882,8.70525385351742,33.59588264016544,56.56721743415384,9.34499241324032,33.64294119442211,0.9122287525850196,0.6397385597229004,0.047058554256663186,-0.07068025123454211,-0.1972760761866357,0.08531464581067758,0.6754197395817747,-0.2819005501694104,1.5075405162066766,0
